Date/Time,Type,Mode_of_Communication,Patron type,Details,Location
12/8/14 9:23,Technical/Computing,Email,,VAULT,Online
12/8/14 9:34,Technical/Computing,Email,Undergrad,VAULT,Online
12/8/14 18:03,Reference,In Person,Undergrad,"Archives Consultation, VAULT",Oakland
12/8/14 18:38,Reference,In Person,Undergrad,,Oakland
12/9/14 15:51,Technical/Computing,Email,Undergrad,VAULT,Online
12/9/14 17:42,Technical/Computing,In Person,Undergrad,,Oakland
12/9/14 20:01,Technical/Computing,In Person,Undergrad,Printing,Oakland
12/10/14 9:23,Technical/Computing,In Person,Undergrad,Printing,Oakland
12/10/14 9:41,Technical/Computing,Email,Faculty,VAULT,Online
12/10/14 10:29,Technical/Computing,Phone,Faculty,VAULT,Oakland
12/10/14 10:37,Directional,In Person,Undergrad,Printing,Oakland
12/9/14 15:30,Reference,In Person,,,Oakland
12/10/14 15:42,Technical/Computing,Email,Faculty,VAULT,Online
12/10/14 16:28,Technical/Computing,Email,Faculty,VAULT,Online
12/10/14 16:28,Directional,Phone,Faculty,VAULT,Oakland
12/10/14 16:56,Reference,Email,Staff,Archives Consultation,Oakland
12/11/14 9:22,Technical/Computing,Email,Faculty,VAULT,Online
12/11/14 9:23,Technical/Computing,Email,Undergrad,VAULT,Online
12/11/14 10:08,Technical/Computing,In Person,,Printing,Oakland
12/11/14 10:25,Technical/Computing,Email,Faculty,VAULT,Online
12/11/14 14:20,Technical/Computing,Email,Faculty,VAULT,Online
12/11/14 14:20,Service,Phone,Faculty,VAULT,Oakland
12/11/14 14:28,Technical/Computing,Email,Undergrad,VAULT,Online
12/11/14 17:26,Service,In Person,Undergrad,Printing,Oakland
12/11/14 18:17,Directional,In Person,Undergrad,,Oakland
12/11/14 18:56,Technical/Computing,In Person,Undergrad,,Oakland
12/11/14 21:39,Service,In Person,Undergrad,,Oakland
12/11/14 21:40,Service,In Person,Undergrad,,Oakland
12/13/14 20:32,Technical/Computing,Email,Undergrad,VAULT,Online
12/13/14 20:32,Technical/Computing,Email,Undergrad,VAULT,Online
12/13/14 20:35,Technical/Computing,Email,Undergrad,VAULT,Online
12/13/14 20:49,Technical/Computing,Email,Faculty,VAULT,Online
12/13/14 20:56,Technical/Computing,Email,Faculty,VAULT,Online
12/15/14 10:00,Technical/Computing,Email,Undergrad,VAULT,Online
12/15/14 10:04,Service,Phone,Faculty,VAULT,Oakland
12/15/14 10:53,Technical/Computing,Email,Undergrad,VAULT,Online
12/15/14 13:15,Technical/Computing,Email,Undergrad,VAULT,Online
12/15/14 13:50,Service,Email,Undergrad,VAULT,Online
12/15/14 14:05,Service,Email,Faculty,VAULT,Online
12/16/14 9:52,Technical/Computing,Email,Undergrad,VAULT,Online
12/16/14 9:53,Service,Email,Faculty,VAULT,Online
12/16/14 10:43,Service,In Person,Faculty,,San Francisco
12/15/14 16:00,Reference,In Person,Undergrad,,San Francisco
12/16/14 16:27,Service,In Person,Faculty,,Oakland
12/17/14 0:15,Technical/Computing,Email,Grad Student,VAULT,Online
12/17/14 0:43,Technical/Computing,Email,Undergrad,VAULT,Online
12/17/14 0:48,Service,Email,Faculty,VAULT,Online
12/17/14 10:39,Reference,Email,Faculty,,Online
12/17/14 12:23,Service,Email,Faculty,VAULT,Online
12/17/14 15:04,Service,Email,Undergrad,VAULT,Online
12/17/14 17:00,Service,Email,Grad Student,VAULT,Online
12/17/14 21:37,Service,Email,Undergrad,VAULT,Online
12/18/14 10:07,Technical/Computing,Email,Faculty,VAULT,Online
12/19/14 9:39,Service,Email,Undergrad,VAULT,Online
12/30/14 12:17,Service,Email,Undergrad,VAULT,Online
1/5/15 11:51,Directional,Phone,,,Oakland
1/5/15 11:51,Service,Email,Undergrad,VAULT,Online
1/5/15 11:56,Technical/Computing,Email,Faculty,VAULT,Online
1/5/15 14:07,Technical/Computing,Email,Grad Student,VAULT,Online
1/5/15 22:59,Service,Email,Faculty,VAULT,Online
1/7/15 9:46,Service,Email,Faculty,VAULT,Online
1/7/15 9:51,Service,Email,Faculty,VAULT,Online
1/7/15 10:50,Reference,Email,Grad Student,Archives Consultation,Oakland
1/7/15 11:44,Reference,Email,Staff,Archives Consultation,Oakland
1/7/15 11:47,Reference,Phone,public,,Oakland
1/7/15 11:53,Reference,Email,Staff,Archives Consultation,Oakland
1/7/15 12:30,Service,In Person,Undergrad,Printing,Oakland
1/7/15 14:19,Service,In Person,Undergrad,,Oakland
1/7/15 14:19,Technical/Computing,In Person,Undergrad,Printing,Oakland
1/7/15 16:01,Service,In Person,Faculty,,Oakland
1/8/15 9:11,Directional,Phone,,,Oakland
1/8/15 9:41,Service,Email,Undergrad,VAULT,Online
1/8/15 11:48,Reference,Email,Staff,Archives Consultation,Oakland
1/8/15 13:11,Reference,Email,Staff,,Online
1/8/15 15:25,Service,Phone,Faculty,,San Francisco
1/8/15 15:26,Service,Phone,Faculty,,San Francisco
1/7/15 10:13,Service,Phone,Grad Student,,San Francisco
1/7/15 12:03,Service,Phone,Alumni,,San Francisco
1/7/15 16:42,Service,Phone,Grad Student,,San Francisco
1/8/15 15:29,Service,Email,Grad Student,,San Francisco
1/9/15 9:36,Reference,Email,artist,,Oakland
1/9/15 9:39,Reference,Email,Faculty,,Online
1/9/15 12:03,Reference,Email,Staff,Archives Consultation,Oakland
1/9/15 12:07,Service,Email,Staff,VAULT,Online
1/9/15 12:14,Service,Email,Staff,VAULT,Online
1/9/15 14:43,Service,Email,Staff,VAULT,Online
1/9/15 15:31,Directional,In Person,Faculty,,San Francisco
1/9/15 15:32,Service,In Person,Staff,,San Francisco
1/9/15 17:24,Reference,Email,Grad Student,Archives Consultation,Oakland
1/12/15 9:46,Service,In Person,Faculty,,San Francisco
1/12/15 11:44,Service,In Person,Faculty,VAULT,San Francisco
1/12/15 11:46,Service,Email,Undergrad,Archives Consultation,Online
1/12/15 11:46,Directional,In Person,Faculty,,Oakland
1/12/15 15:22,Service,In Person,Undergrad,,San Francisco
1/12/15 16:06,Directional,In Person,Undergrad,,San Francisco
1/12/15 16:54,Directional,In Person,Faculty,,San Francisco
1/13/15 9:10,Directional,In Person,Undergrad,,Oakland
1/13/15 9:39,Directional,In Person,Gen Public,,San Francisco
1/13/15 10:54,Service,In Person,Faculty,,San Francisco
1/13/15 11:03,Directional,In Person,Alumni,,San Francisco
1/13/15 12:15,Directional,In Person,Grad Student,,San Francisco
1/13/15 12:36,Directional,In Person,Grad Student,,San Francisco
1/13/15 14:09,Directional,In Person,Undergrad,,San Francisco
1/13/15 14:10,Directional,In Person,Alumni,,San Francisco
1/13/15 15:17,Service,In Person,Staff,,San Francisco
1/13/15 16:11,Directional,In Person,Undergrad,,San Francisco
1/14/15 11:28,Directional,In Person,Undergrad,,Oakland
1/14/15 15:13,Reference,Email,Faculty,,Online
1/14/15 15:13,Directional,In Person,Faculty,,Oakland
1/14/15 17:28,Reference,In Person,Staff,Archives Consultation,Oakland
1/14/15 17:31,Reference,In Person,Grad Student,Archives Consultation,Oakland
1/15/15 10:38,Directional,In Person,Faculty,,San Francisco
1/15/15 11:35,Reference,Email,Faculty,,Oakland
1/15/15 11:57,Service,In Person,Faculty,,San Francisco
1/15/15 12:33,Service,In Person,Faculty,,San Francisco
1/15/15 12:34,Reference,Email,researcher,Archives Consultation,Oakland
1/15/15 13:33,Reference,In Person,Undergrad,,Oakland
1/15/15 14:09,Reference,In Person,Grad Student,,San Francisco
1/16/15 8:57,Directional,In Person,Grad Student,,San Francisco
1/16/15 9:17,Service,Email,Faculty,VAULT,Online
1/13/15 22:05,Service,Email,Grad Student,VAULT,Online
1/16/15 15:31,Technical/Computing,In Person,Grad Student,,San Francisco
1/16/15 13:20,Technical/Computing,In Person,Faculty,Printing,Oakland
1/16/15 16:27,Reference,In Person,Undergrad,,San Francisco
1/20/15 9:19,Service,Phone,Undergrad,,San Francisco
1/20/15 9:21,Service,In Person,Faculty,,San Francisco
1/20/15 9:39,Directional,In Person,Undergrad,,San Francisco
1/20/15 9:39,Directional,In Person,Undergrad,,Oakland
1/20/15 10:18,Directional,In Person,Grad Student,Printing,San Francisco
1/20/15 10:38,Technical/Computing,In Person,Faculty,,Oakland
1/20/15 11:08,Directional,In Person,Grad Student,,San Francisco
1/20/15 11:16,Technical/Computing,In Person,,Printing,Oakland
1/20/15 11:20,Service,In Person,Faculty,,San Francisco
1/20/15 11:21,Directional,In Person,Faculty,,San Francisco
1/20/15 11:26,Directional,In Person,Grad Student,,San Francisco
1/20/15 11:50,Service,In Person,Undergrad,,San Francisco
1/20/15 12:03,Service,In Person,Undergrad,,Oakland
1/20/15 12:10,Service,In Person,Grad Student,,San Francisco
1/20/15 12:32,Directional,In Person,Faculty,,San Francisco
1/20/15 13:16,Directional,In Person,Grad Student,,San Francisco
1/20/15 13:17,Technical/Computing,In Person,Undergrad,Printing,San Francisco
1/20/15 13:49,Directional,In Person,Undergrad,,San Francisco
1/20/15 13:52,Service,In Person,Undergrad,,San Francisco
1/20/15 13:52,Reference,Email,Grad Student,,Online
1/20/15 14:11,Directional,In Person,Undergrad,,Oakland
1/20/15 9:10,Directional,In Person,Undergrad,,Oakland
1/20/15 14:32,Service,In Person,Faculty,,San Francisco
1/20/15 11:26,Directional,In Person,Grad Student,,San Francisco
1/20/15 11:50,Service,In Person,Undergrad,,San Francisco
1/20/15 12:03,Service,In Person,Undergrad,,Oakland
1/20/15 12:10,Service,In Person,Grad Student,,San Francisco
1/20/15 12:32,Directional,In Person,Faculty,,San Francisco
1/20/15 13:16,Directional,In Person,Grad Student,,San Francisco
1/20/15 13:17,Technical/Computing,In Person,Undergrad,Printing,San Francisco
1/20/15 13:49,Directional,In Person,Undergrad,,San Francisco
1/20/15 13:52,Service,In Person,Undergrad,,San Francisco
1/20/15 13:52,Reference,Email,Grad Student,,Online
1/20/15 14:11,Directional,In Person,Undergrad,,Oakland
1/20/15 9:10,Directional,In Person,Undergrad,,Oakland
1/20/15 14:32,Service,In Person,Faculty,,San Francisco
1/20/15 15:03,Technical/Computing,In Person,Undergrad,,Oakland
1/20/15 15:27,Service,Phone,Faculty,,San Francisco
1/20/15 16:06,Directional,In Person,Faculty,,San Francisco
1/20/15 16:20,Directional,In Person,Undergrad,,San Francisco
1/20/15 17:01,Technical/Computing,In Person,Undergrad,,Oakland
1/20/15 17:17,Service,In Person,,,Oakland
1/20/15 17:24,Service,In Person,Undergrad,,Oakland
1/20/15 17:26,Directional,In Person,Faculty,,San Francisco
1/20/15 17:53,Directional,In Person,Grad Student,,San Francisco
1/20/15 18:18,Directional,In Person,Grad Student,,San Francisco
1/20/15 18:19,Technical/Computing,In Person,Undergrad,Printing,Oakland
1/20/15 18:47,Service,In Person,Grad Student,,San Francisco
1/20/15 18:47,Directional,In Person,Undergrad,,San Francisco
1/20/15 19:06,Directional,In Person,Undergrad,,San Francisco
1/20/15 19:06,Directional,In Person,Undergrad,,San Francisco
1/20/15 20:52,Technical/Computing,In Person,Undergrad,,Oakland
1/20/15 21:05,Service,In Person,Faculty,,Oakland
1/21/15 9:30,Directional,In Person,Undergrad,,Oakland
1/21/15 9:30,Directional,In Person,Undergrad,,Oakland
1/21/15 9:00,Directional,In Person,Undergrad,,Oakland
1/21/15 9:30,Technical/Computing,In Person,,Printing,Oakland
1/21/15 8:45,Technical/Computing,In Person,,Printing,Oakland
1/21/15 8:45,Service,In Person,Faculty,,Oakland
1/21/15 10:21,Service,In Person,Undergrad,,San Francisco
1/21/15 10:31,Directional,In Person,Undergrad,,San Francisco
1/21/15 10:32,Reference,In Person,class,,Oakland
1/21/15 10:37,Directional,In Person,Faculty,Printing,Oakland
1/21/15 10:37,Technical/Computing,In Person,,,Oakland
1/21/15 10:37,Directional,In Person,Undergrad,,Oakland
1/21/15 10:37,Directional,In Person,Undergrad,,Oakland
1/21/15 10:43,Service,In Person,Undergrad,,Oakland
1/21/15 11:18,Service,Phone,Undergrad,,San Francisco
1/21/15 11:39,Service,In Person,Grad Student,,Oakland
1/21/15 11:41,Directional,In Person,Grad Student,,San Francisco
1/21/15 12:12,Service,In Person,Undergrad,Printing,San Francisco
1/21/15 12:03,Directional,In Person,,,Oakland
1/21/15 12:21,Service,In Person,Undergrad,,San Francisco
1/21/15 12:22,Service,In Person,Undergrad,,San Francisco
1/21/15 12:27,Directional,In Person,Undergrad,,San Francisco
1/21/15 12:28,Directional,In Person,Faculty,,San Francisco
1/21/15 12:28,Service,In Person,Faculty,,San Francisco
1/21/15 12:28,Directional,In Person,Undergrad,,San Francisco
1/21/15 12:33,Service,In Person,Faculty,,San Francisco
1/21/15 13:01,Service,In Person,Grad Student,,San Francisco
1/21/15 13:25,Directional,In Person,,,Oakland
1/21/15 13:26,Directional,In Person,Undergrad,,Oakland
1/21/15 13:42,Technical/Computing,In Person,,,Oakland
1/21/15 14:22,Service,In Person,Undergrad,,San Francisco
1/21/15 14:33,Service,In Person,Grad Student,,San Francisco
1/21/15 14:47,Service,In Person,Faculty,,San Francisco
1/21/15 14:47,Service,In Person,Undergrad,,San Francisco
1/21/15 14:54,Reference,Email,Grad Student,,Online
1/21/15 14:54,Directional,In Person,Faculty,,Oakland
1/21/15 15:01,Directional,In Person,Undergrad,,San Francisco
1/21/15 15:01,Directional,In Person,Undergrad,,San Francisco
1/21/15 15:09,Directional,In Person,Undergrad,,San Francisco
1/21/15 15:09,Service,In Person,Undergrad,,San Francisco
1/21/15 15:09,Directional,In Person,Undergrad,,San Francisco
1/21/15 15:10,Directional,In Person,Undergrad,,Oakland
1/21/15 15:13,Reference,In Person,Faculty,,Oakland
1/21/15 15:13,Directional,In Person,Faculty,,Oakland
1/21/15 15:26,Reference,Email,Grad Student,,Online
1/21/15 15:44,Reference,In Person,Undergrad,,Oakland
1/21/15 16:25,Service,In Person,Undergrad,,San Francisco
1/21/15 16:27,Directional,In Person,Grad Student,,San Francisco
1/21/15 16:27,Service,In Person,Faculty,,San Francisco
1/21/15 16:28,Service,In Person,Faculty,,San Francisco
1/21/15 18:08,Service,In Person,Faculty,,San Francisco
1/21/15 18:08,Directional,In Person,Undergrad,,San Francisco
1/21/15 18:30,Service,In Person,Undergrad,,San Francisco
1/21/15 18:32,Directional,In Person,Undergrad,,San Francisco
1/21/15 18:35,Service,In Person,Faculty,,San Francisco
1/21/15 18:35,Service,In Person,Faculty,,San Francisco
1/21/15 18:53,Technical/Computing,In Person,Undergrad,,Oakland
1/21/15 18:53,Technical/Computing,In Person,Undergrad,,Oakland
1/21/15 18:53,Service,In Person,Undergrad,,Oakland
1/21/15 18:54,Reference,In Person,Undergrad,,Oakland
1/21/15 18:54,Reference,In Person,Undergrad,,Oakland
1/21/15 18:55,Reference,In Person,Undergrad,,Oakland
1/21/15 19:08,Reference,In Person,Undergrad,,Oakland
1/21/15 19:08,Reference,In Person,Undergrad,,Oakland
1/22/15 8:12,Technical/Computing,In Person,Undergrad,,Oakland
1/22/15 8:12,Service,In Person,,,Oakland
1/22/15 10:40,Service,Email,Faculty,VAULT,Online
1/22/15 11:02,Service,In Person,Alumni,,San Francisco
1/22/15 11:03,Service,In Person,Undergrad,Printing,San Francisco
1/22/15 11:36,Service,In Person,Faculty,,San Francisco
1/22/15 11:46,Service,In Person,Undergrad,,San Francisco
1/22/15 11:46,Directional,In Person,Undergrad,,San Francisco
1/22/15 11:54,Service,In Person,Grad Student,,San Francisco
1/22/15 13:03,Service,In Person,Undergrad,,San Francisco
1/22/15 13:04,Directional,In Person,Undergrad,,San Francisco
1/22/15 13:18,Directional,In Person,Undergrad,,Oakland
1/22/15 13:18,Directional,In Person,Faculty,,Oakland
1/22/15 13:22,Reference,In Person,Undergrad,,Oakland
1/22/15 13:22,Reference,In Person,Undergrad,,Oakland
1/22/15 13:23,Service,In Person,Undergrad,,San Francisco
1/22/15 13:25,Directional,In Person,Undergrad,VAULT,Oakland
1/22/15 13:27,Service,In Person,Staff,,Oakland
1/22/15 13:53,Directional,In Person,Undergrad,,San Francisco
1/22/15 14:19,Service,In Person,Undergrad,,San Francisco
1/22/15 14:51,Directional,In Person,Undergrad,,Oakland
1/22/15 15:25,Reference,In Person,Staff,Archives Consultation,Oakland
1/22/15 15:53,Directional,In Person,Grad Student,,San Francisco
1/22/15 15:53,Service,In Person,Faculty,,San Francisco
1/22/15 15:53,Service,In Person,,,San Francisco
1/22/15 15:59,Directional,In Person,Faculty,,San Francisco
1/22/15 15:59,Directional,In Person,Faculty,,San Francisco
1/22/15 16:00,Directional,In Person,Faculty,,San Francisco
1/22/15 16:03,Directional,In Person,,,Oakland
1/22/15 17:17,Directional,In Person,Grad Student,,San Francisco
1/22/15 17:31,Service,In Person,Undergrad,,San Francisco
1/22/15 17:31,Service,In Person,Grad Student,,San Francisco
1/22/15 17:45,Directional,In Person,Undergrad,,San Francisco
1/22/15 17:50,Service,In Person,Alumni,,San Francisco
1/22/15 18:08,Directional,In Person,Undergrad,,San Francisco
1/22/15 18:34,Directional,In Person,Undergrad,,San Francisco
1/22/15 18:47,Directional,In Person,Undergrad,,San Francisco
1/22/15 19:04,Directional,In Person,Undergrad,,San Francisco
1/22/15 19:15,Directional,In Person,Undergrad,,San Francisco
1/23/15 9:05,Directional,In Person,,,Oakland
1/23/15 9:55,Directional,In Person,,,Oakland
1/23/15 9:59,Directional,In Person,,,Oakland
1/23/15 9:59,Directional,In Person,,,Oakland
1/23/15 10:45,Technical/Computing,In Person,Faculty,,San Francisco
1/23/15 11:10,Service,In Person,Faculty,,San Francisco
1/23/15 12:34,Reference,Email,Grad Student,,San Francisco
1/23/15 12:45,Service,In Person,Undergrad,,Oakland
1/23/15 13:05,Directional,In Person,Undergrad,,San Francisco
1/23/15 13:05,Service,In Person,Undergrad,,San Francisco
1/23/15 13:06,Directional,In Person,Grad Student,,San Francisco
1/23/15 12:03,Service,In Person,Grad Student,,San Francisco
1/23/15 13:04,Directional,In Person,,,Oakland
1/23/15 13:23,Technical/Computing,In Person,,,Oakland
1/23/15 13:42,Technical/Computing,In Person,,Printing,Oakland
1/23/15 13:56,Technical/Computing,In Person,,,Oakland
1/23/15 13:14,Directional,In Person,Undergrad,,San Francisco
1/23/15 13:17,Directional,In Person,Grad Student,,San Francisco
1/23/15 14:44,Directional,In Person,Undergrad,,San Francisco
1/23/15 15:07,Service,In Person,Faculty,,San Francisco
1/23/15 15:37,Directional,In Person,Grad Student,,San Francisco
1/23/15 15:37,Service,In Person,Grad Student,,San Francisco
1/23/15 15:38,Service,In Person,Faculty,,San Francisco
1/23/15 15:38,Directional,In Person,Faculty,,San Francisco
1/23/15 15:48,Service,In Person,Undergrad,Printing,San Francisco
1/23/15 16:11,Service,In Person,Undergrad,Printing,San Francisco
1/23/15 16:39,Reference,In Person,Undergrad,,San Francisco
1/22/15 17:00,Reference,In Person,Undergrad,,Oakland
1/23/15 16:56,Directional,In Person,Undergrad,,San Francisco
1/23/15 17:08,Service,In Person,Undergrad,,San Francisco
1/24/15 14:58,Directional,In Person,Non-CCA affiliated,,Oakland
1/24/15 15:31,Technical/Computing,In Person,Undergrad,,San Francisco
1/24/15 15:31,Service,In Person,Undergrad,,San Francisco
1/24/15 15:55,Directional,In Person,Faculty,,San Francisco
1/24/15 17:47,Service,In Person,Grad Student,,San Francisco
1/25/15 14:27,Service,In Person,Grad Student,,San Francisco
1/25/15 14:29,Service,In Person,Grad Student,,San Francisco
1/25/15 14:42,Service,In Person,Undergrad,,San Francisco
1/25/15 15:26,Service,In Person,Faculty,,San Francisco
1/25/15 15:36,Directional,In Person,,,Oakland
1/25/15 16:31,Service,In Person,Grad Student,,San Francisco
1/25/15 16:31,Service,In Person,Undergrad,,San Francisco
1/25/15 16:31,Service,In Person,Undergrad,,San Francisco
1/25/15 16:46,Service,In Person,Undergrad,,San Francisco
1/25/15 17:18,Service,In Person,Undergrad,,San Francisco
1/25/15 17:56,Service,In Person,Grad Student,,San Francisco
1/25/15 20:59,Directional,In Person,Undergrad,,Oakland
1/26/15 9:12,Directional,In Person,,Printing,Oakland
1/26/15 9:14,Technical/Computing,In Person,Undergrad,Printing,Oakland
1/26/15 9:14,Directional,In Person,Undergrad,Printing,Oakland
1/26/15 9:20,Directional,In Person,Undergrad,,San Francisco
1/26/15 9:47,Service,In Person,Faculty,,San Francisco
1/26/15 10:12,Service,Email,Staff,VAULT,Online
1/26/15 10:31,Technical/Computing,In Person,Faculty,,Oakland
1/26/15 10:35,Directional,In Person,Undergrad,,San Francisco
1/26/15 10:45,Technical/Computing,In Person,Staff,Materials Library,San Francisco
1/26/15 10:46,Service,Email,Staff,VAULT,Online
1/26/15 11:03,Service,In Person,Undergrad,,San Francisco
1/26/15 11:04,Service,Phone,Staff,VAULT,Oakland
1/26/15 11:14,Technical/Computing,In Person,Grad Student,,San Francisco
1/26/15 11:20,Directional,In Person,Grad Student,,San Francisco
1/26/15 11:25,Service,In Person,Undergrad,,San Francisco
1/26/15 11:27,Service,In Person,Grad Student,,San Francisco
1/26/15 11:36,Service,In Person,Grad Student,,San Francisco
1/26/15 11:53,Directional,In Person,,,Oakland
1/26/15 12:13,Directional,In Person,Undergrad,,San Francisco
1/26/15 12:42,Service,Email,Faculty,,Online
1/26/15 12:42,Service,Email,Staff,,Online
1/26/15 13:10,Technical/Computing,In Person,Faculty,,Oakland
1/26/15 13:30,Directional,In Person,,,Oakland
1/26/15 14:14,Directional,In Person,Undergrad,,Oakland
1/26/15 14:15,Service,In Person,Undergrad,,Oakland
1/26/15 14:15,Directional,In Person,Grad Student,,Oakland
1/26/15 15:03,Directional,In Person,Undergrad,,Oakland
1/26/15 15:09,Service,In Person,,,Oakland
1/26/15 15:26,Service,In Person,Faculty,Moodle,Oakland
1/26/15 15:32,Service,In Person,Faculty,,Oakland
1/26/15 16:38,Service,In Person,Undergrad,,Oakland
1/26/15 18:54,Reference,In Person,Undergrad,,San Francisco
1/26/15 19:21,Technical/Computing,In Person,Faculty,,Oakland
1/26/15 19:36,Directional,In Person,Undergrad,,Oakland
1/26/15 19:55,Service,In Person,Undergrad,,Oakland
1/27/15 9:11,Service,In Person,,,Oakland
1/27/15 9:20,Service,In Person,Grad Student,,Oakland
1/27/15 9:39,Directional,In Person,Grad Student,,San Francisco
1/27/15 9:40,Directional,In Person,Undergrad,,San Francisco
1/27/15 9:40,Directional,In Person,Grad Student,,San Francisco
1/27/15 9:43,Service,In Person,Undergrad,,Oakland
1/27/15 9:47,Service,In Person,,,Oakland
1/27/15 9:47,Service,In Person,,Printing,Oakland
1/27/15 9:56,Service,In Person,Grad Student,,San Francisco
1/27/15 9:56,Directional,In Person,Undergrad,,San Francisco
1/27/15 10:04,Service,In Person,Grad Student,,San Francisco
1/27/15 10:44,Directional,In Person,Grad Student,,San Francisco
1/27/15 11:18,Directional,In Person,Undergrad,,Oakland
1/27/15 11:28,Service,In Person,Undergrad,,San Francisco
1/27/15 11:35,Directional,In Person,,,Oakland
1/26/15 14:00,Directional,In Person,Faculty,,Oakland
1/27/15 11:38,Service,In Person,Undergrad,,Oakland
1/27/15 11:40,Service,In Person,Grad Student,,San Francisco
1/27/15 11:53,Service,In Person,Undergrad,,San Francisco
1/27/15 12:07,Service,In Person,Grad Student,,San Francisco
1/27/15 12:20,Technical/Computing,In Person,Undergrad,,Oakland
1/27/15 12:25,Directional,In Person,Undergrad,,San Francisco
1/27/15 12:25,Service,In Person,Undergrad,,San Francisco
1/27/15 12:28,Reference,Email,Faculty,,Online
1/27/15 12:42,Reference,Email,Faculty,,Online
1/27/15 12:43,Service,Phone,Grad Student,,San Francisco
1/27/15 13:12,Service,Email,Faculty,VAULT,Online
1/27/15 13:58,Technical/Computing,In Person,Undergrad,,San Francisco
1/27/15 14:11,Directional,In Person,Undergrad,,Oakland
1/27/15 14:13,Directional,In Person,Undergrad,,San Francisco
1/27/15 14:51,Directional,In Person,Faculty,,San Francisco
1/27/15 14:56,Service,In Person,Faculty,,Oakland
1/27/15 15:07,Service,In Person,Undergrad,,Oakland
1/27/15 15:34,Service,In Person,Undergrad,Printing,San Francisco
1/27/15 15:34,Directional,Phone,Undergrad,,San Francisco
1/27/15 15:38,Service,In Person,Undergrad,Printing,San Francisco
1/27/15 15:49,Directional,In Person,Undergrad,,San Francisco
1/27/15 15:49,Service,In Person,Faculty,,San Francisco
1/27/15 16:01,Directional,In Person,Undergrad,,San Francisco
1/27/15 16:07,Service,In Person,Alumni,,Oakland
1/27/15 16:12,Directional,In Person,Undergrad,,San Francisco
1/27/15 16:42,Service,In Person,Undergrad,,San Francisco
1/27/15 17:46,Service,Phone,Grad Student,,San Francisco
1/27/15 17:46,Directional,In Person,Grad Student,,San Francisco
1/27/15 18:11,Service,In Person,Grad Student,,San Francisco
1/27/15 19:08,Directional,In Person,Undergrad,,San Francisco
1/27/15 19:08,Service,In Person,Grad Student,,San Francisco
1/27/15 21:00,Service,In Person,Faculty,,Oakland
1/27/15 21:01,Directional,In Person,Faculty,,Oakland
1/27/15 21:30,Directional,In Person,Faculty,,Oakland
1/28/15 9:13,Directional,In Person,,,Oakland
1/28/15 9:39,Directional,In Person,Undergrad,,San Francisco
1/28/15 9:53,Service,Email,Faculty,,San Francisco
1/28/15 11:10,Reference,Email,Faculty,,Online
1/28/15 11:10,Directional,In Person,Faculty,,Oakland
1/28/15 11:18,Service,In Person,Undergrad,Printing,San Francisco
1/28/15 11:43,Directional,In Person,Undergrad,,Oakland
1/28/15 11:50,Directional,In Person,Undergrad,,Oakland
1/28/15 11:57,Service,In Person,Faculty,,San Francisco
1/28/15 13:41,Service,In Person,Grad Student,,San Francisco
1/28/15 13:41,Directional,In Person,,,San Francisco
1/28/15 13:58,Directional,In Person,Undergrad,,San Francisco
1/28/15 13:58,Service,Phone,Alumni,,San Francisco
1/28/15 13:59,Service,In Person,Undergrad,,San Francisco
1/28/15 13:58,Service,Phone,Alumni,,San Francisco
1/28/15 13:59,Directional,In Person,Undergrad,,San Francisco
1/28/15 13:59,Directional,In Person,Faculty,,San Francisco
1/28/15 14:46,Service,In Person,Undergrad,,San Francisco
1/28/15 15:26,Directional,In Person,Undergrad,,Oakland
1/28/15 15:26,Directional,In Person,Undergrad,,Oakland
1/28/15 15:49,Directional,In Person,Undergrad,,San Francisco
1/28/15 15:49,Service,In Person,Undergrad,Printing,San Francisco
1/28/15 16:19,Directional,In Person,Undergrad,,San Francisco
1/28/15 16:55,Service,In Person,Grad Student,,San Francisco
1/28/15 17:11,Service,In Person,Undergrad,,San Francisco
1/28/15 17:20,Service,In Person,Grad Student,,San Francisco
1/28/15 18:20,Directional,In Person,Grad Student,,San Francisco
1/28/15 18:29,Directional,In Person,Grad Student,,San Francisco
1/28/15 18:30,Service,In Person,Undergrad,,San Francisco
1/28/15 18:32,Service,In Person,Undergrad,,San Francisco
1/28/15 18:45,Directional,In Person,Grad Student,,San Francisco
1/28/15 18:57,Directional,In Person,Faculty,,San Francisco
1/29/15 9:01,Directional,In Person,Faculty,,Oakland
1/29/15 10:02,Service,Email,Faculty,,Online
1/29/15 10:02,Service,Email,Faculty,,Online
1/29/15 10:49,Service,In Person,Faculty,,Oakland
1/29/15 9:00,Directional,In Person,,,Oakland
1/29/15 10:58,Technical/Computing,In Person,Faculty,,Oakland
1/29/15 11:02,Directional,In Person,Undergrad,,San Francisco
1/29/15 11:12,Directional,In Person,Grad Student,,San Francisco
1/29/15 11:12,Directional,In Person,Undergrad,,San Francisco
1/29/15 11:12,Directional,In Person,Grad Student,,San Francisco
1/29/15 11:13,Service,In Person,Faculty,,San Francisco
1/29/15 11:17,Reference,In Person,Faculty,,San Francisco
1/29/15 11:17,Directional,In Person,Faculty,,San Francisco
1/29/15 11:51,Service,In Person,Grad Student,,San Francisco
1/29/15 12:29,Service,In Person,Undergrad,,Oakland
1/29/15 12:42,Directional,In Person,Undergrad,,San Francisco
